# Customer personas — assegnazione dei POD,,
# Ogni riga rappresenta un POD del campione rappresentativo di 1.000 clienti. Le personas derivano dal modello K-means A_behavioral con K=5. Le denominazioni descrivono il comportamento medio del cluster e non la tipologia contrattuale del cliente.,,
pod,cluster,persona
595,1,"Consumo medio, regolare e con picco serale"
596,1,"Consumo medio, regolare e con picco serale"
597,1,"Consumo medio, regolare e con picco serale"
598,5,Basso consumo e attività intermittente
599,1,"Consumo medio, regolare e con picco serale"
600,5,Basso consumo e attività intermittente
601,1,"Consumo medio, regolare e con picco serale"
602,1,"Consumo medio, regolare e con picco serale"
603,1,"Consumo medio, regolare e con picco serale"
604,1,"Consumo medio, regolare e con picco serale"
605,1,"Consumo medio, regolare e con picco serale"
606,1,"Consumo medio, regolare e con picco serale"
607,5,Basso consumo e attività intermittente
608,1,"Consumo medio, regolare e con picco serale"
609,1,"Consumo medio, regolare e con picco serale"
610,1,"Consumo medio, regolare e con picco serale"
611,1,"Consumo medio, regolare e con picco serale"
612,5,Basso consumo e attività intermittente
613,4,Consumo quasi nullo e profilo non interpretabile
614,1,"Consumo medio, regolare e con picco serale"
615,1,"Consumo medio, regolare e con picco serale"
616,1,"Consumo medio, regolare e con picco serale"
617,1,"Consumo medio, regolare e con picco serale"
618,1,"Consumo medio, regolare e con picco serale"
619,1,"Consumo medio, regolare e con picco serale"
620,1,"Consumo medio, regolare e con picco serale"
621,1,"Consumo medio, regolare e con picco serale"
622,1,"Consumo medio, regolare e con picco serale"
623,1,"Consumo medio, regolare e con picco serale"
624,1,"Consumo medio, regolare e con picco serale"
625,1,"Consumo medio, regolare e con picco serale"
626,1,"Consumo medio, regolare e con picco serale"
627,1,"Consumo medio, regolare e con picco serale"
628,5,Basso consumo e attività intermittente
629,1,"Consumo medio, regolare e con picco serale"
630,3,"Alto consumo, carico di base continuo e forte picco serale"
631,1,"Consumo medio, regolare e con picco serale"
632,1,"Consumo medio, regolare e con picco serale"
633,1,"Consumo medio, regolare e con picco serale"
634,1,"Consumo medio, regolare e con picco serale"
635,4,Consumo quasi nullo e profilo non interpretabile
636,1,"Consumo medio, regolare e con picco serale"
637,1,"Consumo medio, regolare e con picco serale"
638,1,"Consumo medio, regolare e con picco serale"
639,1,"Consumo medio, regolare e con picco serale"
640,1,"Consumo medio, regolare e con picco serale"
641,1,"Consumo medio, regolare e con picco serale"
642,1,"Consumo medio, regolare e con picco serale"
643,1,"Consumo medio, regolare e con picco serale"
644,1,"Consumo medio, regolare e con picco serale"
645,1,"Consumo medio, regolare e con picco serale"
646,1,"Consumo medio, regolare e con picco serale"
647,5,Basso consumo e attività intermittente
648,1,"Consumo medio, regolare e con picco serale"
649,1,"Consumo medio, regolare e con picco serale"
650,1,"Consumo medio, regolare e con picco serale"
651,1,"Consumo medio, regolare e con picco serale"
652,1,"Consumo medio, regolare e con picco serale"
653,5,Basso consumo e attività intermittente
654,5,Basso consumo e attività intermittente
655,1,"Consumo medio, regolare e con picco serale"
656,1,"Consumo medio, regolare e con picco serale"
657,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
658,1,"Consumo medio, regolare e con picco serale"
659,1,"Consumo medio, regolare e con picco serale"
660,5,Basso consumo e attività intermittente
661,5,Basso consumo e attività intermittente
662,1,"Consumo medio, regolare e con picco serale"
663,1,"Consumo medio, regolare e con picco serale"
664,1,"Consumo medio, regolare e con picco serale"
665,1,"Consumo medio, regolare e con picco serale"
666,1,"Consumo medio, regolare e con picco serale"
667,1,"Consumo medio, regolare e con picco serale"
668,1,"Consumo medio, regolare e con picco serale"
669,1,"Consumo medio, regolare e con picco serale"
670,1,"Consumo medio, regolare e con picco serale"
671,1,"Consumo medio, regolare e con picco serale"
672,1,"Consumo medio, regolare e con picco serale"
673,1,"Consumo medio, regolare e con picco serale"
674,1,"Consumo medio, regolare e con picco serale"
675,5,Basso consumo e attività intermittente
676,1,"Consumo medio, regolare e con picco serale"
677,1,"Consumo medio, regolare e con picco serale"
678,5,Basso consumo e attività intermittente
679,1,"Consumo medio, regolare e con picco serale"
680,1,"Consumo medio, regolare e con picco serale"
681,1,"Consumo medio, regolare e con picco serale"
682,1,"Consumo medio, regolare e con picco serale"
683,1,"Consumo medio, regolare e con picco serale"
684,1,"Consumo medio, regolare e con picco serale"
685,1,"Consumo medio, regolare e con picco serale"
686,1,"Consumo medio, regolare e con picco serale"
687,1,"Consumo medio, regolare e con picco serale"
688,1,"Consumo medio, regolare e con picco serale"
689,1,"Consumo medio, regolare e con picco serale"
690,1,"Consumo medio, regolare e con picco serale"
691,1,"Consumo medio, regolare e con picco serale"
692,1,"Consumo medio, regolare e con picco serale"
693,5,Basso consumo e attività intermittente
694,1,"Consumo medio, regolare e con picco serale"
695,1,"Consumo medio, regolare e con picco serale"
696,1,"Consumo medio, regolare e con picco serale"
697,1,"Consumo medio, regolare e con picco serale"
698,1,"Consumo medio, regolare e con picco serale"
699,1,"Consumo medio, regolare e con picco serale"
700,5,Basso consumo e attività intermittente
701,1,"Consumo medio, regolare e con picco serale"
702,1,"Consumo medio, regolare e con picco serale"
703,1,"Consumo medio, regolare e con picco serale"
704,1,"Consumo medio, regolare e con picco serale"
705,1,"Consumo medio, regolare e con picco serale"
706,5,Basso consumo e attività intermittente
707,1,"Consumo medio, regolare e con picco serale"
708,1,"Consumo medio, regolare e con picco serale"
709,1,"Consumo medio, regolare e con picco serale"
710,1,"Consumo medio, regolare e con picco serale"
711,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
712,1,"Consumo medio, regolare e con picco serale"
713,3,"Alto consumo, carico di base continuo e forte picco serale"
714,1,"Consumo medio, regolare e con picco serale"
715,1,"Consumo medio, regolare e con picco serale"
716,1,"Consumo medio, regolare e con picco serale"
717,1,"Consumo medio, regolare e con picco serale"
718,1,"Consumo medio, regolare e con picco serale"
719,1,"Consumo medio, regolare e con picco serale"
720,1,"Consumo medio, regolare e con picco serale"
721,1,"Consumo medio, regolare e con picco serale"
722,1,"Consumo medio, regolare e con picco serale"
723,1,"Consumo medio, regolare e con picco serale"
724,1,"Consumo medio, regolare e con picco serale"
725,1,"Consumo medio, regolare e con picco serale"
726,1,"Consumo medio, regolare e con picco serale"
727,1,"Consumo medio, regolare e con picco serale"
728,1,"Consumo medio, regolare e con picco serale"
729,1,"Consumo medio, regolare e con picco serale"
730,1,"Consumo medio, regolare e con picco serale"
731,1,"Consumo medio, regolare e con picco serale"
732,1,"Consumo medio, regolare e con picco serale"
733,1,"Consumo medio, regolare e con picco serale"
734,1,"Consumo medio, regolare e con picco serale"
735,1,"Consumo medio, regolare e con picco serale"
736,1,"Consumo medio, regolare e con picco serale"
737,1,"Consumo medio, regolare e con picco serale"
738,1,"Consumo medio, regolare e con picco serale"
739,1,"Consumo medio, regolare e con picco serale"
740,1,"Consumo medio, regolare e con picco serale"
741,1,"Consumo medio, regolare e con picco serale"
742,1,"Consumo medio, regolare e con picco serale"
743,1,"Consumo medio, regolare e con picco serale"
744,1,"Consumo medio, regolare e con picco serale"
745,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
746,1,"Consumo medio, regolare e con picco serale"
747,1,"Consumo medio, regolare e con picco serale"
748,1,"Consumo medio, regolare e con picco serale"
749,1,"Consumo medio, regolare e con picco serale"
750,1,"Consumo medio, regolare e con picco serale"
751,1,"Consumo medio, regolare e con picco serale"
752,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
753,1,"Consumo medio, regolare e con picco serale"
754,1,"Consumo medio, regolare e con picco serale"
755,1,"Consumo medio, regolare e con picco serale"
756,1,"Consumo medio, regolare e con picco serale"
757,1,"Consumo medio, regolare e con picco serale"
758,1,"Consumo medio, regolare e con picco serale"
759,1,"Consumo medio, regolare e con picco serale"
760,1,"Consumo medio, regolare e con picco serale"
761,1,"Consumo medio, regolare e con picco serale"
762,1,"Consumo medio, regolare e con picco serale"
763,1,"Consumo medio, regolare e con picco serale"
764,5,Basso consumo e attività intermittente
765,1,"Consumo medio, regolare e con picco serale"
766,1,"Consumo medio, regolare e con picco serale"
767,1,"Consumo medio, regolare e con picco serale"
768,1,"Consumo medio, regolare e con picco serale"
769,1,"Consumo medio, regolare e con picco serale"
770,1,"Consumo medio, regolare e con picco serale"
771,1,"Consumo medio, regolare e con picco serale"
772,1,"Consumo medio, regolare e con picco serale"
773,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
774,1,"Consumo medio, regolare e con picco serale"
775,1,"Consumo medio, regolare e con picco serale"
776,5,Basso consumo e attività intermittente
777,1,"Consumo medio, regolare e con picco serale"
778,1,"Consumo medio, regolare e con picco serale"
779,5,Basso consumo e attività intermittente
780,1,"Consumo medio, regolare e con picco serale"
781,1,"Consumo medio, regolare e con picco serale"
782,1,"Consumo medio, regolare e con picco serale"
783,1,"Consumo medio, regolare e con picco serale"
784,1,"Consumo medio, regolare e con picco serale"
785,1,"Consumo medio, regolare e con picco serale"
786,1,"Consumo medio, regolare e con picco serale"
787,1,"Consumo medio, regolare e con picco serale"
788,1,"Consumo medio, regolare e con picco serale"
789,1,"Consumo medio, regolare e con picco serale"
790,1,"Consumo medio, regolare e con picco serale"
791,5,Basso consumo e attività intermittente
792,1,"Consumo medio, regolare e con picco serale"
793,1,"Consumo medio, regolare e con picco serale"
794,1,"Consumo medio, regolare e con picco serale"
795,3,"Alto consumo, carico di base continuo e forte picco serale"
796,1,"Consumo medio, regolare e con picco serale"
797,1,"Consumo medio, regolare e con picco serale"
798,1,"Consumo medio, regolare e con picco serale"
799,1,"Consumo medio, regolare e con picco serale"
800,1,"Consumo medio, regolare e con picco serale"
801,1,"Consumo medio, regolare e con picco serale"
802,1,"Consumo medio, regolare e con picco serale"
803,1,"Consumo medio, regolare e con picco serale"
804,1,"Consumo medio, regolare e con picco serale"
805,5,Basso consumo e attività intermittente
806,5,Basso consumo e attività intermittente
807,1,"Consumo medio, regolare e con picco serale"
808,5,Basso consumo e attività intermittente
809,1,"Consumo medio, regolare e con picco serale"
810,1,"Consumo medio, regolare e con picco serale"
811,1,"Consumo medio, regolare e con picco serale"
812,1,"Consumo medio, regolare e con picco serale"
813,1,"Consumo medio, regolare e con picco serale"
814,1,"Consumo medio, regolare e con picco serale"
815,1,"Consumo medio, regolare e con picco serale"
816,1,"Consumo medio, regolare e con picco serale"
817,1,"Consumo medio, regolare e con picco serale"
818,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
819,1,"Consumo medio, regolare e con picco serale"
820,1,"Consumo medio, regolare e con picco serale"
821,1,"Consumo medio, regolare e con picco serale"
822,1,"Consumo medio, regolare e con picco serale"
823,1,"Consumo medio, regolare e con picco serale"
824,1,"Consumo medio, regolare e con picco serale"
825,1,"Consumo medio, regolare e con picco serale"
826,1,"Consumo medio, regolare e con picco serale"
827,1,"Consumo medio, regolare e con picco serale"
828,1,"Consumo medio, regolare e con picco serale"
829,1,"Consumo medio, regolare e con picco serale"
830,1,"Consumo medio, regolare e con picco serale"
831,1,"Consumo medio, regolare e con picco serale"
832,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
833,1,"Consumo medio, regolare e con picco serale"
834,1,"Consumo medio, regolare e con picco serale"
835,1,"Consumo medio, regolare e con picco serale"
836,1,"Consumo medio, regolare e con picco serale"
837,1,"Consumo medio, regolare e con picco serale"
838,1,"Consumo medio, regolare e con picco serale"
839,1,"Consumo medio, regolare e con picco serale"
840,3,"Alto consumo, carico di base continuo e forte picco serale"
841,1,"Consumo medio, regolare e con picco serale"
842,1,"Consumo medio, regolare e con picco serale"
843,1,"Consumo medio, regolare e con picco serale"
844,1,"Consumo medio, regolare e con picco serale"
845,1,"Consumo medio, regolare e con picco serale"
846,1,"Consumo medio, regolare e con picco serale"
847,1,"Consumo medio, regolare e con picco serale"
848,1,"Consumo medio, regolare e con picco serale"
849,1,"Consumo medio, regolare e con picco serale"
850,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
851,1,"Consumo medio, regolare e con picco serale"
852,1,"Consumo medio, regolare e con picco serale"
853,3,"Alto consumo, carico di base continuo e forte picco serale"
854,1,"Consumo medio, regolare e con picco serale"
855,1,"Consumo medio, regolare e con picco serale"
856,5,Basso consumo e attività intermittente
857,1,"Consumo medio, regolare e con picco serale"
858,1,"Consumo medio, regolare e con picco serale"
859,1,"Consumo medio, regolare e con picco serale"
860,5,Basso consumo e attività intermittente
861,1,"Consumo medio, regolare e con picco serale"
862,1,"Consumo medio, regolare e con picco serale"
863,1,"Consumo medio, regolare e con picco serale"
864,1,"Consumo medio, regolare e con picco serale"
865,1,"Consumo medio, regolare e con picco serale"
866,1,"Consumo medio, regolare e con picco serale"
867,1,"Consumo medio, regolare e con picco serale"
868,1,"Consumo medio, regolare e con picco serale"
869,1,"Consumo medio, regolare e con picco serale"
870,1,"Consumo medio, regolare e con picco serale"
871,1,"Consumo medio, regolare e con picco serale"
872,1,"Consumo medio, regolare e con picco serale"
873,1,"Consumo medio, regolare e con picco serale"
874,1,"Consumo medio, regolare e con picco serale"
875,1,"Consumo medio, regolare e con picco serale"
876,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
877,1,"Consumo medio, regolare e con picco serale"
878,1,"Consumo medio, regolare e con picco serale"
879,1,"Consumo medio, regolare e con picco serale"
880,1,"Consumo medio, regolare e con picco serale"
881,1,"Consumo medio, regolare e con picco serale"
882,1,"Consumo medio, regolare e con picco serale"
883,1,"Consumo medio, regolare e con picco serale"
884,1,"Consumo medio, regolare e con picco serale"
885,1,"Consumo medio, regolare e con picco serale"
886,1,"Consumo medio, regolare e con picco serale"
887,1,"Consumo medio, regolare e con picco serale"
888,5,Basso consumo e attività intermittente
889,1,"Consumo medio, regolare e con picco serale"
890,1,"Consumo medio, regolare e con picco serale"
891,1,"Consumo medio, regolare e con picco serale"
892,1,"Consumo medio, regolare e con picco serale"
893,1,"Consumo medio, regolare e con picco serale"
894,1,"Consumo medio, regolare e con picco serale"
895,1,"Consumo medio, regolare e con picco serale"
896,1,"Consumo medio, regolare e con picco serale"
897,1,"Consumo medio, regolare e con picco serale"
898,5,Basso consumo e attività intermittente
899,1,"Consumo medio, regolare e con picco serale"
900,1,"Consumo medio, regolare e con picco serale"
901,1,"Consumo medio, regolare e con picco serale"
902,1,"Consumo medio, regolare e con picco serale"
903,5,Basso consumo e attività intermittente
904,1,"Consumo medio, regolare e con picco serale"
905,1,"Consumo medio, regolare e con picco serale"
906,1,"Consumo medio, regolare e con picco serale"
907,1,"Consumo medio, regolare e con picco serale"
908,1,"Consumo medio, regolare e con picco serale"
909,1,"Consumo medio, regolare e con picco serale"
910,1,"Consumo medio, regolare e con picco serale"
911,1,"Consumo medio, regolare e con picco serale"
912,1,"Consumo medio, regolare e con picco serale"
913,1,"Consumo medio, regolare e con picco serale"
914,1,"Consumo medio, regolare e con picco serale"
915,1,"Consumo medio, regolare e con picco serale"
916,1,"Consumo medio, regolare e con picco serale"
917,1,"Consumo medio, regolare e con picco serale"
918,1,"Consumo medio, regolare e con picco serale"
919,1,"Consumo medio, regolare e con picco serale"
920,1,"Consumo medio, regolare e con picco serale"
921,1,"Consumo medio, regolare e con picco serale"
922,1,"Consumo medio, regolare e con picco serale"
923,1,"Consumo medio, regolare e con picco serale"
924,1,"Consumo medio, regolare e con picco serale"
925,1,"Consumo medio, regolare e con picco serale"
926,1,"Consumo medio, regolare e con picco serale"
927,1,"Consumo medio, regolare e con picco serale"
928,1,"Consumo medio, regolare e con picco serale"
929,5,Basso consumo e attività intermittente
930,1,"Consumo medio, regolare e con picco serale"
931,4,Consumo quasi nullo e profilo non interpretabile
932,1,"Consumo medio, regolare e con picco serale"
933,1,"Consumo medio, regolare e con picco serale"
934,1,"Consumo medio, regolare e con picco serale"
935,1,"Consumo medio, regolare e con picco serale"
936,1,"Consumo medio, regolare e con picco serale"
937,1,"Consumo medio, regolare e con picco serale"
938,1,"Consumo medio, regolare e con picco serale"
939,1,"Consumo medio, regolare e con picco serale"
940,5,Basso consumo e attività intermittente
941,1,"Consumo medio, regolare e con picco serale"
942,1,"Consumo medio, regolare e con picco serale"
943,1,"Consumo medio, regolare e con picco serale"
944,1,"Consumo medio, regolare e con picco serale"
945,1,"Consumo medio, regolare e con picco serale"
946,1,"Consumo medio, regolare e con picco serale"
947,1,"Consumo medio, regolare e con picco serale"
948,1,"Consumo medio, regolare e con picco serale"
949,1,"Consumo medio, regolare e con picco serale"
950,1,"Consumo medio, regolare e con picco serale"
951,1,"Consumo medio, regolare e con picco serale"
952,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
953,1,"Consumo medio, regolare e con picco serale"
954,1,"Consumo medio, regolare e con picco serale"
955,1,"Consumo medio, regolare e con picco serale"
956,5,Basso consumo e attività intermittente
957,1,"Consumo medio, regolare e con picco serale"
958,1,"Consumo medio, regolare e con picco serale"
959,1,"Consumo medio, regolare e con picco serale"
960,1,"Consumo medio, regolare e con picco serale"
961,1,"Consumo medio, regolare e con picco serale"
962,1,"Consumo medio, regolare e con picco serale"
963,1,"Consumo medio, regolare e con picco serale"
964,5,Basso consumo e attività intermittente
965,3,"Alto consumo, carico di base continuo e forte picco serale"
966,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
967,1,"Consumo medio, regolare e con picco serale"
968,1,"Consumo medio, regolare e con picco serale"
969,1,"Consumo medio, regolare e con picco serale"
970,1,"Consumo medio, regolare e con picco serale"
971,1,"Consumo medio, regolare e con picco serale"
972,1,"Consumo medio, regolare e con picco serale"
973,5,Basso consumo e attività intermittente
974,1,"Consumo medio, regolare e con picco serale"
975,1,"Consumo medio, regolare e con picco serale"
976,1,"Consumo medio, regolare e con picco serale"
977,1,"Consumo medio, regolare e con picco serale"
978,1,"Consumo medio, regolare e con picco serale"
979,1,"Consumo medio, regolare e con picco serale"
980,1,"Consumo medio, regolare e con picco serale"
981,5,Basso consumo e attività intermittente
982,3,"Alto consumo, carico di base continuo e forte picco serale"
983,1,"Consumo medio, regolare e con picco serale"
984,1,"Consumo medio, regolare e con picco serale"
985,1,"Consumo medio, regolare e con picco serale"
986,1,"Consumo medio, regolare e con picco serale"
987,3,"Alto consumo, carico di base continuo e forte picco serale"
988,1,"Consumo medio, regolare e con picco serale"
989,1,"Consumo medio, regolare e con picco serale"
990,1,"Consumo medio, regolare e con picco serale"
991,1,"Consumo medio, regolare e con picco serale"
992,1,"Consumo medio, regolare e con picco serale"
993,1,"Consumo medio, regolare e con picco serale"
994,1,"Consumo medio, regolare e con picco serale"
995,5,Basso consumo e attività intermittente
996,1,"Consumo medio, regolare e con picco serale"
997,3,"Alto consumo, carico di base continuo e forte picco serale"
998,1,"Consumo medio, regolare e con picco serale"
999,1,"Consumo medio, regolare e con picco serale"
1000,1,"Consumo medio, regolare e con picco serale"
